DirectorID,EXECID,execCIK
327988,37510,0001237935
81642,16943,NA
81767,12854,NA
81652,16944,NA
81622,08964,NA
81647,21333,NA
83357,12855,NA
499751,48852,0001374995
546849,48846,0001524707
607436,48851,0001458964
275485,09395,NA
275498,10087,0001234433
1316496,44386,0001550337
84192,20400,NA
33593,01470,NA
489061,32094,0001362733
370047,14119,0001238618
203346,26817,0001205019
201659,19532,NA
203260,22038,0001193373
508234,36373,0001407695
328016,28876,0001272786
328029,17712,0001251379
33522,53625,0001142083
493191,46552,NA
594487,46544,NA
513960,33633,0001387325
326555,26236,0001232955
71112,08831,NA
853893,43067,0001516501
335747,31139,0001274960
335875,31140,0001274956
335972,06425,0001103156
740324,46975,0001383693
487783,29207,0001319014
335992,06426,0001103157
87847,06438,0001210749
87867,16841,0001210751
87882,19154,NA
205492,06441,0001210755
335374,28701,0001008717
41476,32107,0001171769
36525,05808,0001082870
51181,26059,0001175928
32570,00874,0001184363
204331,32506,0001240292
32574,05872,NA
554006,32505,NA
336783,32742,0001275938
337067,32743,0001283209
516076,36188,NA
606956,36185,NA
516078,36190,NA
1012384,40212,NA
516071,36189,NA
502539,28709,0001184229
326462,21575,0001136879
806085,54925,0001693925
328716,27387,0001238118
621137,40590,0001435522
181614,08524,NA
370332,40495,0000922147
370609,40500,0001244465
320986,18184,0001214235
1203207,49611,0001661768
207884,24798,0001221137
34223,01446,0001198853
745222,36251,0001378514
35098,02385,0001198855
35115,38038,NA
35121,00087,NA
489026,57822,0001253334
1118810,47361,0001207117
60532,00137,NA
60542,20766,0001228778
60552,20767,0001088011
203105,01403,NA
60617,12716,NA
50321,12317,NA
50336,12318,NA
180121,27796,0001219691
204883,27797,0001219700
484418,43983,0001709989
35021,26007,NA
17021,24559,0001221543
51852,18509,0001197584
530989,40785,0001392133
51682,02387,0001197580
181512,19566,0001203375
27173,32807,0001233415
1484937,46517,0001566407
181520,32808,0001205334
203342,27818,NA
66177,01727,NA
498629,31544,0001047581
36295,00476,NA
36301,07655,NA
508962,32811,NA
270365,16526,NA
181541,27470,0001176368
9492,07654,NA
545467,38699,0001406033
201992,19716,0001174964
202070,23977,0001174957
1126367,46649,0001472732
329147,25661,0001220015
83082,04029,0001220020
141367,15694,NA
141357,18064,0001194675
141363,24966,0001204358
141368,18062,NA
90277,23168,0001197129
498426,49833,0001333830
1113572,42932,0001517344
348337,19731,0001213958
181966,21768,0001158015
183476,05330,NA
492393,31731,0001327977
1255200,44307,0001554411
345439,45634,NA
441681,45105,0001319078
555700,45104,0001419425
221364,01977,0000923910
347140,09026,0001304191
200530,06518,0001204383
346921,36053,0001251423
346905,36052,0001251421
486932,41062,0001304778
1953962,56696,0001724435
